entity_id,entity_name,segment,owner
AGE001,Agent workflow 1,Growth,Operations
AGE002,Agent workflow 2,Strategic,Product
AGE003,Agent workflow 3,Watch,Analytics
AGE004,Agent workflow 4,Strategic,Analytics
AGE005,Agent workflow 5,Watch,Analytics
AGE006,Agent workflow 6,Growth,Customer
AGE007,Agent workflow 7,Growth,Revenue
AGE008,Agent workflow 8,Core,Operations
AGE009,Agent workflow 9,Watch,Customer
AGE010,Agent workflow 10,Growth,Revenue
AGE011,Agent workflow 11,Core,Product
AGE012,Agent workflow 12,Core,Revenue
AGE013,Agent workflow 13,Strategic,Analytics
AGE014,Agent workflow 14,Core,Revenue
AGE015,Agent workflow 15,Watch,Revenue
AGE016,Agent workflow 16,Watch,Revenue
AGE017,Agent workflow 17,Core,Operations
AGE018,Agent workflow 18,Strategic,Revenue
AGE019,Agent workflow 19,Core,Operations
AGE020,Agent workflow 20,Strategic,Customer
AGE021,Agent workflow 21,Core,Customer
AGE022,Agent workflow 22,Watch,Revenue
AGE023,Agent workflow 23,Growth,Product
AGE024,Agent workflow 24,Strategic,Product
AGE025,Agent workflow 25,Watch,Product
AGE026,Agent workflow 26,Growth,Customer
AGE027,Agent workflow 27,Strategic,Customer
AGE028,Agent workflow 28,Growth,Product
AGE029,Agent workflow 29,Growth,Operations
AGE030,Agent workflow 30,Core,Customer
AGE031,Agent workflow 31,Core,Revenue
AGE032,Agent workflow 32,Watch,Customer
AGE033,Agent workflow 33,Growth,Operations
AGE034,Agent workflow 34,Core,Customer
AGE035,Agent workflow 35,Watch,Operations
AGE036,Agent workflow 36,Strategic,Analytics
