event_id,event_date,entity_id,event_type,severity,estimated_impact
EV0001,2026-01-01,AGE012,handoff,Low,8196
EV0002,2026-01-02,AGE010,experiment,Medium,32661
EV0003,2026-01-03,AGE033,experiment,Medium,41354
EV0004,2026-01-04,AGE001,stakeholder_request,Medium,14298
EV0005,2026-01-05,AGE019,launch,Medium,46572
EV0006,2026-01-06,AGE026,qa_check,High,46280
EV0007,2026-01-07,AGE017,qa_check,Medium,23206
EV0008,2026-01-08,AGE031,stakeholder_request,Low,9787
EV0009,2026-01-09,AGE021,handoff,Low,7879
EV0010,2026-01-10,AGE015,qa_check,Medium,7192
EV0011,2026-01-11,AGE004,exception,Medium,31134
EV0012,2026-01-12,AGE034,experiment,Medium,24188
EV0013,2026-01-13,AGE018,exception,Medium,25796
EV0014,2026-01-14,AGE017,handoff,Medium,7144
EV0015,2026-01-15,AGE028,qa_check,High,47561
EV0016,2026-01-16,AGE002,qa_check,High,46674
EV0017,2026-01-17,AGE003,exception,High,35295
EV0018,2026-01-18,AGE014,launch,Medium,49420
EV0019,2026-01-19,AGE021,handoff,High,38062
EV0020,2026-01-20,AGE003,stakeholder_request,Medium,31065
EV0021,2026-01-21,AGE025,launch,High,33360
EV0022,2026-01-22,AGE028,qa_check,Low,554
EV0023,2026-01-23,AGE022,experiment,High,6083
EV0024,2026-01-24,AGE003,launch,High,2043
EV0025,2026-01-25,AGE002,qa_check,Low,30703
EV0026,2026-01-26,AGE011,handoff,High,5556
EV0027,2026-01-27,AGE025,stakeholder_request,Low,47660
EV0028,2026-01-28,AGE035,stakeholder_request,Low,6872
EV0029,2026-01-29,AGE007,handoff,Medium,3486
EV0030,2026-01-30,AGE011,qa_check,Low,27623
EV0031,2026-01-31,AGE013,exception,Medium,45635
EV0032,2026-02-01,AGE010,experiment,Low,15615
EV0033,2026-02-02,AGE036,exception,Medium,51039
EV0034,2026-02-03,AGE027,experiment,High,5865
EV0035,2026-02-04,AGE018,experiment,High,33378
EV0036,2026-02-05,AGE003,launch,Low,27357
EV0037,2026-02-06,AGE012,handoff,Medium,38577
EV0038,2026-02-07,AGE036,handoff,Low,13018
EV0039,2026-02-08,AGE009,launch,High,43507
EV0040,2026-02-09,AGE029,handoff,Low,21916
EV0041,2026-02-10,AGE020,launch,High,12421
EV0042,2026-02-11,AGE025,exception,Low,1167
EV0043,2026-02-12,AGE029,launch,Medium,8099
EV0044,2026-02-13,AGE032,handoff,Medium,14571
EV0045,2026-02-14,AGE022,launch,Medium,48715
EV0046,2026-02-15,AGE015,launch,Low,10961
EV0047,2026-02-16,AGE006,exception,High,19420
EV0048,2026-02-17,AGE030,exception,Low,7774
EV0049,2026-02-18,AGE021,qa_check,Medium,50647
EV0050,2026-02-19,AGE024,exception,Medium,20336
EV0051,2026-02-20,AGE002,launch,Low,24134
EV0052,2026-02-21,AGE028,qa_check,Medium,45872
EV0053,2026-02-22,AGE026,launch,Medium,9164
EV0054,2026-02-23,AGE018,qa_check,High,50729
EV0055,2026-02-24,AGE023,experiment,Medium,32526
EV0056,2026-02-25,AGE017,handoff,High,12324
EV0057,2026-02-26,AGE005,stakeholder_request,High,6194
EV0058,2026-02-27,AGE019,handoff,Low,15801
EV0059,2026-02-28,AGE015,handoff,High,18722
EV0060,2026-03-01,AGE002,handoff,High,44921
EV0061,2026-03-02,AGE023,qa_check,High,11864
EV0062,2026-03-03,AGE022,launch,High,33654
EV0063,2026-03-04,AGE036,experiment,Medium,26905
EV0064,2026-03-05,AGE030,handoff,Low,24004
EV0065,2026-03-06,AGE019,stakeholder_request,High,42218
